marital,divorce,divorce_noanswer,divorce_ds_no,divorce_ds_yes,childs,childs_9,childs_8,childs_7,childs_6,childs_5,childs_4,childs_3,childs_2,childs_1,childs_0,age,educ,sex,race,race_other,race_black,race_white,relig,relig_internondenominational,relig_hinduism,relig_christian,relig_jewish,relig_dontknow,relig_orthodoxchristian,relig_catholic,relig_none,relig_protestant,relig_buddhism,relig_nativeamerican,relig_other,relig_noanswer,relig_muslim,relig_othereastern,xmovie,pornlaw,pornlaw_legal,pornlaw_dontknow,pornlaw_illegal,pornlaw_illegalillegal8,pornlaw_noanswer,hapmar
1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,-0.9278936371775333,-0.2879092588748385,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,-1.4376649194528144,-0.2879092588748385,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,-0.8641722268931231,-1.7649710021327207,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1
1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.47397738907949016,-0.2879092588748385,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1
1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,-1.310222098883994,0.8937401357314673,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1
1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,-1.6925505605904552,-1.1741463048295677,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1
1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,-0.48184376518666217,0.8937401357314673,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1
1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,-1.246500688599584,-1.7649710021327207,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1
1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0.21909174794184955,0.3029154384283144,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1
1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.21909174794184955,0.3029154384283144,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1
1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,-0.48184376518666217,-0.2879092588748385,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1
1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,-0.5455651754710723,0.3029154384283144,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1
1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.09164892737302922,0.8937401357314673,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1
1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,-0.2906795343334317,-0.8787339561779913,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1
1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,-1.246500688599584,-1.4695586534811442,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1
1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0.3465345685106698,0.007503089776737961,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0.3465345685106698,-0.2879092588748385,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1
1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1.238634312492412,0.3029154384283144,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1
